"Site","Quad","Species","trackID","Year","basalArea_genet","recruit","survives_tplus1","age","size_tplus1","nearEdge","Suspect"
"KS","e1q2-1","Andropogon gerardii","ANDGER_69_2",69,33.8830631076974,1,0,0,NA,TRUE,FALSE
"KS","e1q2-1","Andropogon gerardii","ANDGER_70_1",70,14.311428766578,1,1,0,64.9151073614043,FALSE,FALSE
"KS","e1q2-1","Andropogon gerardii","ANDGER_70_1",71,64.9151073614043,0,1,1,139.903949094416,FALSE,FALSE
"KS","e1q2-1","Andropogon gerardii","ANDGER_70_1",72,139.903949094416,0,NA,2,NA,FALSE,FALSE
"KS","e1q2-1","Andropogon gerardii","ANDGER_70_2",70,22.295622104979,1,1,0,31.790694235803,FALSE,FALSE
"KS","e1q2-1","Andropogon gerardii","ANDGER_70_2",72,31.790694235803,0,NA,1,NA,FALSE,FALSE
"KS","e1q2-1","Andropogon gerardii","ANDGER_71_1",71,273.134994877241,1,NA,0,NA,TRUE,FALSE
"KS","e1q2-1","Andropogon gerardii","ANDGER_71_2",71,103.811897179269,1,NA,0,NA,TRUE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_71_1",71,17.1468285967505,1,1,0,0.711343335619993,TRUE,TRUE
"KS","e1q2-2","Andropogon gerardii","ANDGER_71_1",72,0.711343335619993,0,NA,1,NA,FALSE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_71_2",71,39.951307960666,1,1,0,114.43062111218,FALSE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_71_2",72,114.43062111218,0,NA,1,NA,FALSE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_71_3",71,56.9901478550421,1,1,0,38.9376698039859,TRUE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_71_3",72,38.9376698039859,0,NA,1,NA,TRUE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_72_1",72,0.71133392553,1,NA,0,NA,TRUE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_72_2",72,0.711343776824003,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_72_3",72,0.711336854920006,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-2","Andropogon gerardii","ANDGER_72_4",72,0.711346556628004,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_69_1",69,115.449058484831,1,1,0,221.588645915344,TRUE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_69_1",71,221.588645915344,0,1,1,66.3628152118917,TRUE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_69_1",72,66.3628152118917,0,NA,2,NA,TRUE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_69_2",69,231.66998407056,1,1,0,99.2689215004366,TRUE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_69_2",70,99.2689215004366,0,1,1,250.464502774739,TRUE,FALSE
